"filename", "language", "C++", "Ini", "comment", "blank", "total"
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/platformio.ini", "Ini", 0, 5, 9, 1, 15
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/hal/enemy.cpp", "C++", 49, 0, 0, 8, 57
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/hal/enemy.h", "C++", 31, 0, 0, 7, 38
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/hal/line_sensors.cpp", "C++", 10, 0, 0, 3, 13
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/hal/line_sensors.h", "C++", 13, 0, 0, 6, 19
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/main.cpp", "C++", 60, 0, 116, 18, 194
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/periph/adc.cpp", "C++", 24, 0, 18, 10, 52
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/periph/adc.h", "C++", 9, 0, 0, 3, 12
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/periph/i2c.cpp", "C++", 392, 0, 27, 91, 510
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/periph/i2c.h", "C++", 35, 0, 1, 10, 46
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/periph/ir_remote.cpp", "C++", 98, 0, 4, 23, 125
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/periph/ir_remote.h", "C++", 28, 0, 0, 4, 32
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/periph/pins.cpp", "C++", 86, 0, 0, 10, 96
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/periph/pins.h", "C++", 21, 0, 2, 7, 30
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/periph/pwm.cpp", "C++", 194, 0, 44, 29, 267
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/periph/pwm.h", "C++", 48, 0, 3, 11, 62
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/periph/vl53lox.cpp", "C++", 31, 0, 0, 4, 35
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/periph/vl53lox.h", "C++", 5, 0, 0, 2, 7
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/scripts/assert_script.cpp", "C++", 10, 0, 0, 2, 12
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/scripts/assert_script.h", "C++", 11, 0, 0, 4, 15
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/scripts/queue.cpp", "C++", 43, 0, 0, 5, 48
"/Users/terencematsune/Documents/PlatformIO/Projects/sumo_bot_prototype/src/scripts/queue.h", "C++", 22, 0, 0, 5, 27
"Total", "-", 1220, 5, 224, 263, 1712